,Compound Score,Negative Score,Neutral Score,News_organization,Positive Score,Tweets Ago
48,-0.0516,0.106,0.798,CNN,0.096,49
49,0.8316,0.0,0.671,CNN,0.329,50
50,0.0,0.128,0.702,CNN,0.169,51
51,-0.6808,0.259,0.741,CNN,0.0,52
52,0.5859,0.0,0.833,CNN,0.167,53
53,0.5267,0.0,0.746,CNN,0.254,54
54,0.0,0.0,1.0,CNN,0.0,55
55,0.2023,0.0,0.909,CNN,0.091,56
56,0.0,0.0,1.0,CNN,0.0,57
57,0.34,0.0,0.833,CNN,0.167,58
58,0.0,0.0,1.0,CNN,0.0,59
59,0.4939,0.0,0.833,CNN,0.167,60
60,0.2023,0.0,0.833,CNN,0.167,61
61,0.0,0.0,1.0,CNN,0.0,62
62,0.0,0.0,1.0,CNN,0.0,63
63,-0.0772,0.071,0.929,CNN,0.0,64
64,-0.6486,0.249,0.751,CNN,0.0,65
65,0.5859,0.0,0.833,CNN,0.167,66
66,0.3804,0.0,0.885,CNN,0.115,67
67,0.1779,0.1,0.766,CNN,0.134,68
68,0.4019,0.0,0.803,CNN,0.197,69
69,0.3687,0.0,0.819,CNN,0.181,70
70,0.0,0.0,1.0,CNN,0.0,71
71,-0.5994,0.187,0.813,CNN,0.0,72
72,-0.7351,0.347,0.579,CNN,0.074,73
73,-0.128,0.177,0.68,CNN,0.143,74
74,0.0,0.0,1.0,CNN,0.0,75
75,0.0,0.0,1.0,CNN,0.0,76
76,0.128,0.1,0.776,CNN,0.123,77
77,-0.6597,0.306,0.694,CNN,0.0,78
78,-0.3818,0.157,0.762,CNN,0.081,79
79,0.2263,0.0,0.872,CNN,0.128,80
80,-0.1531,0.074,0.926,CNN,0.0,81
81,0.4767,0.0,0.795,CNN,0.205,82
82,0.5859,0.0,0.798,CNN,0.202,83
83,-0.25,0.247,0.57,CNN,0.184,84
84,0.4939,0.0,0.842,CNN,0.158,85
85,0.4404,0.0,0.775,CNN,0.225,86
86,0.0,0.0,1.0,CNN,0.0,87
87,0.0,0.0,1.0,CNN,0.0,88
88,0.0,0.0,1.0,CNN,0.0,89
89,0.4767,0.0,0.853,CNN,0.147,90
90,-0.3182,0.119,0.881,CNN,0.0,91
91,0.0,0.0,1.0,CNN,0.0,92
92,0.4019,0.0,0.838,CNN,0.162,93
93,0.0,0.0,1.0,CNN,0.0,94
94,0.0,0.0,1.0,CNN,0.0,95
95,-0.5423,0.28,0.72,CNN,0.0,96
96,-0.7269,0.357,0.643,CNN,0.0,97
97,0.0,0.0,1.0,CNN,0.0,98
98,0.0,0.0,1.0,CNN,0.0,99
99,0.0,0.0,1.0,CNN,0.0,100
